ID,Name,Glottocode,Macroarea,Latitude,Longitude,Family_Glottocode,Family_Name
668_Baoule_baou1238,Baoulé,baou1238,Africa,5.42509,-4.76565,atla1278,Atlantic-Congo
669_Baatonum_baat1238,Baatonum,baat1238,Africa,9.63186,2.99607,atla1278,Atlantic-Congo
670_Basa_Cameroon_basa1284,Basa (Cameroon),basa1284,Africa,3.80765,10.4213,atla1278,Atlantic-Congo
671_Bassa_nucl1418,Bassa,nucl1418,Africa,7.27501,-11.543,atla1278,Atlantic-Congo
672_Ntcham_ntch1242,Ntcham,ntch1242,Africa,9.23971,0.599275,atla1278,Atlantic-Congo
673_Gagnoa_Bete_gagn1235,Gagnoa Bété,gagn1235,Africa,6.10051,-5.9701,atla1278,Atlantic-Congo
674_Bekwarra_bekw1241,Bekwarra,bekw1241,Africa,6.73737,8.86489,atla1278,Atlantic-Congo
675_Berom_bero1242,Berom,bero1242,Africa,9.67037,8.81221,atla1278,Atlantic-Congo
676_Beng_beng1286,Beng,beng1286,Africa,7.78122,-4.23539,mand1469,Mande
677_Bhele_bhel1238,Bhele,bhel1238,Africa,0.24553,28.6681,atla1278,Atlantic-Congo
678_Biali_bial1238,Biali,bial1238,Africa,11.0382,1.08259,atla1278,Atlantic-Congo
679_Bimoba_bimo1239,Bimoba,bimo1239,Africa,10.4575,0.06121,atla1278,Atlantic-Congo
680_Bissa_biss1248,Bissa,biss1248,Africa,10.4257,-1.67332,mand1469,Mande
681_Northern_Bobo_Madare_nort2819,Northern Bobo Madaré,nort2819,Africa,12.4182,-4.47538,mand1469,Mande
682_Boko_Benin_boko1266,Boko (Benin),boko1266,Africa,10.5189,3.71771,mand1469,Mande
683_Hainyaxo_Bozo_hain1253,Hainyaxo Bozo,hain1253,Africa,13.8734,-5.65085,mand1469,Mande
684_Bulu_Cameroon_bulu1251,Bulu (Cameroon),bulu1251,Africa,3.16141,11.6365,atla1278,Atlantic-Congo
685_Cerma_cerm1238,Cerma,cerm1238,Africa,10.1245,-4.94917,atla1278,Atlantic-Congo
686_Chumburung_chum1261,Chumburung,chum1261,Africa,8.15211,-0.2755,atla1278,Atlantic-Congo
687_Daba_nucl1683,Daba,nucl1683,Africa,10.3521,13.6318,afro1255,Afro-Asiatic
688_Central_Dagaare_sout2789,Central Dagaare,sout2789,Africa,10.4226,-2.52265,atla1278,Atlantic-Congo
689_Northern_Dagara_nort2780,Northern Dagara,nort2780,Africa,11.0441,-3.0124,atla1278,Atlantic-Congo
690_Dagbani_dagb1246,Dagbani,dagb1246,Africa,9.64745,-0.43227,atla1278,Atlantic-Congo
691_Dan_dann1241,Dan,dann1241,Africa,7.22812,-8.24535,mand1469,Mande
692_Adangme_adan1247,Adangme,adan1247,Africa,5.9437,0.13243,atla1278,Atlantic-Congo
693_Dazaga_daza1242,Dazaga,daza1242,Africa,15.7358,15.8517,saha1256,Saharan
694_Luo_Kenya_and_Tanzania_luok1236,Luo (Kenya and Tanzania),luok1236,Africa,-0.93296,34.4896,nilo1247,Nilotic
695_Lakota_Dida_lako1244,Lakota Dida,lako1244,Africa,5.86012,-5.40633,atla1278,Atlantic-Congo
696_Dyula_dyul1238,Dyula,dyul1238,Africa,10.4536,-4.72007,mand1469,Mande
697_Ditammari_dita1238,Ditammari,dita1238,Africa,10.1614,1.18045,atla1278,Atlantic-Congo
698_Doyayo_doya1240,Doyayo,doya1240,Africa,8.68604,13.0768,atla1278,Atlantic-Congo
699_Toro_So_Dogon_toro1252,Toro So Dogon,toro1252,Africa,14.40749,-3.10006,dogo1299,Dogon
700_Duala_dual1243,Duala,dual1243,Africa,4.10208,9.61877,atla1278,Atlantic-Congo
701_Duruma_duru1249,Duruma,duru1249,Africa,-4.09629,39.322,atla1278,Atlantic-Congo
702_Ebira_ebir1243,Ebira,ebir1243,Africa,8.15516,7.06183,atla1278,Atlantic-Congo
703_Ewe_ewee1241,Ewe,ewee1241,Africa,6.46061,0.814975,atla1278,Atlantic-Congo
704_Bini_bini1246,Bini,bini1246,Africa,6.40701,5.70426,atla1278,Atlantic-Congo
705_Ezaa_ezaa1238,Ezaa,ezaa1238,Africa,,,atla1278,Atlantic-Congo
706_Ejagham_ejag1239,Ejagham,ejag1239,Africa,5.54442,8.90959,atla1278,Atlantic-Congo
707_EmaiIulehaOra_emai1241,Emai-Iuleha-Ora,emai1241,Africa,7.09089,5.84494,atla1278,Atlantic-Congo
708_Engenni_enge1239,Egene,enge1239,Africa,5.11931,6.37339,atla1278,Atlantic-Congo
709_Ewondo_ewon1239,Ewondo,ewon1239,Africa,4.21141,11.93646,atla1278,Atlantic-Congo
710_Fefe_fefe1239,Fe'fe',fefe1239,Africa,5.18158,10.1442,atla1278,Atlantic-Congo
711_Fon_fonn1241,Fon,fonn1241,Africa,7.15484,1.66495,atla1278,Atlantic-Congo
712_Adamawa_Fulfulde_adam1253,Adamawa Fulfulde,adam1253,Africa,8.140326,13.077338,atla1278,Atlantic-Congo
713_CentralEastern_Niger_Fulfulde_cent2018,Central-Eastern Niger Fulfulde,cent2018,Africa,15.0907,8.43261,atla1278,Atlantic-Congo
714_Maasina_Fulfulde_maas1239,Maasina Fulfulde,maas1239,Africa,11.1324,-3.64763,atla1278,Atlantic-Congo
715_Western_Niger_Fulfulde_west2454,Western Niger Fulfulde,west2454,Africa,14.2471,-0.52004,atla1278,Atlantic-Congo
716_Fuliiru_fuli1240,Fuliiru,fuli1240,Africa,-3.04022,28.9865,atla1278,Atlantic-Congo
717_Ga_gaaa1244,Ga,gaaa1244,Africa,5.65488,-0.18598,atla1278,Atlantic-Congo
718_Ngangam_ngan1299,Ngangam,ngan1299,Africa,10.2523,0.70509,atla1278,Atlantic-Congo
719_Northwest_Gbaya_nort2775,Northwest Gbaya,nort2775,Africa,5.9503,15.2569,atla1278,Atlantic-Congo
720_GbayaBossangoa_gbay1287,Gbaya-Bossangoa,gbay1287,Africa,6.61896,17.645,atla1278,Atlantic-Congo
721_Gen_genn1243,Gen,genn1243,Africa,6.25971,1.67727,atla1278,Atlantic-Congo
722_Gen_genn1243,Gen,genn1243,Africa,6.25971,1.67727,atla1278,Atlantic-Congo
723_Godie_godi1239,Godié,godi1239,Africa,5.3944,-5.82696,atla1278,Atlantic-Congo
724_Gonja_gonj1241,Gonja,gonj1241,Africa,8.48801,-0.72757,atla1278,Atlantic-Congo
725_Northern_Grebo_nort2810,Northern Grebo,nort2810,Africa,5.17103,-8.1409,atla1278,Atlantic-Congo
726_Gude_gude1246,Gude,gude1246,Africa,10.2138,13.403,afro1255,Afro-Asiatic
727_Gourmanchema_gour1243,Gourmanchéma,gour1243,Africa,11.6711,1.28489,atla1278,Atlantic-Congo
728_Hanga_hang1258,Hanga,hang1258,Africa,9.33929,-1.57833,atla1278,Atlantic-Congo
729_Hausa_haus1257,Hausa,haus1257,Africa,11.1513,8.7804,afro1255,Afro-Asiatic
730_Hausa_haus1257,Hausa,haus1257,Africa,11.1513,8.7804,afro1255,Afro-Asiatic
731_Ife_ifee1241,Ifè,ifee1241,Africa,7.63568,1.58494,atla1278,Atlantic-Congo
732_Igbo_nucl1417,Igbo,nucl1417,Africa,4.62705,7.23441,atla1278,Atlantic-Congo
733_Igede_iged1239,Igede,iged1239,Africa,6.95522,8.27362,atla1278,Atlantic-Congo
734_Southeast_Ijo_sout2774,Southeast Ijo,sout2774,Africa,4.44235,6.32192,ijoi1239,Ijoid
735_Ikwo_ikwo1238,Ikwo,ikwo1238,Africa,,,atla1278,Atlantic-Congo
736_Izi_izii1239,Izi,izii1239,Africa,6.33,8.0,atla1278,Atlantic-Congo
737_JolaFonyi_jola1263,Jola-Fonyi,jola1263,Africa,12.75752,-15.7354766667,atla1278,Atlantic-Congo
738_Jur_Modo_jurm1239,Jur Modo,jurm1239,Africa,6.03321,29.974,cent2225,Central Sudanic
