ID,Name,Description,BIPA
BIPA_e_u1E1Bu02D0,ḛː,long creaky unrounded close-mid front vowel,ḛː
BIPA_ei_u025Cu026A,ɜɪ,from unrounded open-mid central to unrounded near-close near-front diphthong,ɜɪ
BIPA_r_u0259u02DEu02D0,ə˞ː,long rhotacized unrounded mid central vowel,ə˞ː
BIPA_dd_u0064u032Au00F0u032A,d̪ð̪,voiced dental affricate consonant,dð
BIPA_l_u026Cu02BC,ɬʼ,voiceless alveolar ejective lateral fricative consonant,ɬʼ
BIPA_oa_u006Fu00E4,oä,from rounded close-mid back to centralized unrounded open front diphthong,oä
BIPA_gkh_u0261u01C2u006Bu02B0,ɡǂkʰ,from voiced palatal click to aspirated voiceless velar stop cluster,gǂkʰ
BIPA_rh_u027Eu032Au030Au02B0,ɾ̪̊ʰ,aspirated devoiced voiced dental tap consonant,ɾ̪̥ʰ
BIPA_kkx_u006Bu01C0u006Bu0078u02BC,kǀkxʼ,from voiceless dental click to voiceless velar ejective affricate cluster,ǀkx’
BIPA_g_u0263u02D0,ɣː,long voiced velar fricative consonant,ɣː
UNK_j_u02BCu006A,ʼj,,
BIPA_r_u027Du0303,ɽ̃,nasalized voiced retroflex tap consonant,ɽ̃
BIPA_jj_u025Fu0325u029Du0325,ɟ̥ʝ̥,devoiced voiced palatal affricate consonant,ɟʝ̥
BIPA_z_u0291u02D0,ʑː,long voiced alveolo-palatal sibilant fricative consonant,ʑː
BIPA_c_u0063u02BC,cʼ,voiceless palatal ejective stop consonant,cʼ
BIPA_ia_u0069u032Fu0252,i̯ɒ,from non-syllabic unrounded close front to rounded open back diphthong,i̯ɒ
BIPA_i_u0268u0303u02D0,ɨ̃ː,long nasalized unrounded close central vowel,ɨ̃ː
BIPA_dh_u0064u032Au02B0,d̪ʰ,breathy voiced dental stop consonant,d̪ʱ
BIPA_e_u0065u0324,e̤,breathy unrounded close-mid front vowel,e̤
BIPA_tjh_u0074u032Au02B2u02B0,t̪ʲʰ,palatalized aspirated voiceless dental stop consonant,t̪ʰʲ
BIPA_p_u0070u0348,p͈,strong voiceless bilabial stop consonant,p͈
BIPA_dn_u0064u006E,dn,with-nasal-release voiced alveolar stop consonant,dⁿ
BIPA_u_u0264u031D,ɤ̝,raised unrounded close-mid back vowel,ɤ̝
BIPA_s_u0283u033A,ʃ̺,voiceless apical post-alveolar sibilant fricative consonant,ʃ̺
BIPA_tch_u0074u0255u02B0u02D0,tɕʰː,aspirated long voiceless alveolo-palatal sibilant affricate consonant,tɕʰː
BIPA_s_u0283u02D1,ʃˑ,mid-long voiceless post-alveolar sibilant fricative consonant,ʃˑ
BIPA_ie_u0268u025B,ɨɛ,from unrounded close central to unrounded open-mid front diphthong,ɨɛ
BIPA_oey_u0153u0079,œy,from rounded open-mid front to rounded close front diphthong,œy
BIPA_k_u006Bu003A,k:,long voiceless velar stop consonant,kː
BIPA_dz_u0064u033Bu007Au033B,d̻z̻,voiced laminal alveolar sibilant affricate consonant,dz̻
BIPA_e_u025Cu0339u02D0,ɜ̹ː,long more-rounded unrounded open-mid central vowel,ɜ̹ː
BIPA_s_u0073u02BCu02D0,sʼː,long voiceless alveolar ejective sibilant fricative consonant,s’ː
BIPA_o_u0275u031Eu02D0,ɵ̞ː,long rounded mid central vowel,ɵ̞ː
BIPA_tsh_u0074u032Au0073u032Au02B0,t̪s̪ʰ,aspirated voiceless dental sibilant affricate consonant,ts̪ʰ
BIPA_nn_u006Eu0325u006E,n̥n,pre-nasalized voiced alveolar nasal consonant,ⁿn
BIPA_zj_u0292u02B2,ʒʲ,palatalized voiced post-alveolar sibilant fricative consonant,ʒʲ
BIPA_bn_u0062u207F,bⁿ,with-nasal-release voiced bilabial stop consonant,bⁿ
BIPA_mh_u006Du0324u02B1,m̤ʱ,breathy voiced bilabial nasal consonant,mʱ
BIPA_o_u006Fu0324u02D1,o̤ˑ,mid-long breathy rounded close-mid back vowel,o̤ˑ
BIPA_n_u0272u02D0,ɲː,long voiced palatal nasal consonant,ɲː
BIPA_qkhh_u0071u03C7u02D0u02B0,qχːʰ,aspirated long voiceless uvular affricate consonant,qχʰː
BIPA_hb_u02B1u0062,ʱb,pre-breathy-aspirated voiced bilabial stop consonant,ʱb
BIPA_o_u00F8u031Eu02D0,ø̞ː,long rounded mid front vowel,ø̞ː
BIPA_sj_u0073u032Au02B2,s̪ʲ,palatalized voiceless dental sibilant fricative consonant,s̪ʲ
BIPA_s_u0283u02D0,ʃː,long voiceless post-alveolar sibilant fricative consonant,ʃː
BIPA_lz_u026Eu02BC,ɮʼ,voiced alveolar ejective lateral fricative consonant,ɮ’
BIPA_tlhw_u0074u026Cu02B0u02B7,tɬʰʷ,labialized aspirated voiceless alveolar lateral affricate consonant,tɬʷʰ
BIPA_o_u0254u0330u02D1,ɔ̰ˑ,mid-long creaky rounded open-mid back vowel,ɔ̰ˑ
BIPA_cch_u0063u00E7u02B0,cçʰ,aspirated voiceless palatal affricate consonant,cçʰ
BIPA_nch_u0272u0324u0063u02B0,ɲ̤cʰ,pre-nasalized aspirated voiceless palatal stop consonant,ⁿcʰ
BIPA_ngmw_u014Bu006Du02B7,ŋmʷ,labialized voiced velar-and-bilabial nasal consonant,ŋmʷ
BIPA_r_u027Eu033B,ɾ̻,voiced laminal alveolar tap consonant,ɾ̻
BIPA_p_u0070u033B,p̻,voiceless laminal bilabial stop consonant,p̻
BIPA_kw_u006Bu0330u02B7,k̰ʷ,labialized creaky voiceless velar stop consonant,k̰ʷ
BIPA_ao_u0061u006Fu031Eu02E4,ao̞ˤ,from unrounded open front to pharyngealized rounded mid back diphthong,ao̞ˤ
BIPA_ai_u0061u02D0u026A,aːɪ,from long unrounded open front to unrounded near-close near-front diphthong,aːɪ
BIPA_ui_u0075u0268,uɨ,from rounded close back to unrounded close central diphthong,uɨ
BIPA_mbz_u006Du0062u007A,mbz,pre-nasalized with-sibilant-release voiced bilabial stop consonant,ⁿbˢ
UNK_oi_u006Fu0259u026A,oəɪ,,
BIPA_z_u0292,ʒ,voiced post-alveolar sibilant fricative consonant,ʒ
BIPA_kj_u006Bu02B2u02BC,kʲʼ,palatalized voiceless velar ejective stop consonant,k’ʲ
BIPA_u_u028Au02D0,ʊː,long rounded near-close near-back vowel,ʊː
BIPA_trh_u0288u027Du02B0,ʈɽʰ,aspirated with-trilled-release voiceless retroflex stop consonant,ʈʳʰ
BIPA_oi_u0254u0069,ɔi,from rounded open-mid back to unrounded close front diphthong,ɔi
BIPA_dzh_u0064u0292u02B1,dʒʱ,breathy voiced post-alveolar sibilant affricate consonant,dʒʱ
BIPA_ts_u0074u0283u02D0u02BC,tʃːʼ,long voiceless post-alveolar ejective sibilant affricate consonant,tʃ’ː
BIPA_e_u00EBu031E,ë̞,centralized unrounded mid front vowel,ë̞
BIPA_zw_u007Au02B7,zʷ,labialized voiced alveolar sibilant fricative consonant,zʷ
BIPA_o_u006Fu031Eu0325,o̞̥,devoiced rounded mid back vowel,o̞̥
BIPA__u0259u02D1,əˑ,mid-long unrounded mid central vowel,əˑ
BIPA_t_u0074u033Au02D0,t̺ː,long voiceless apical alveolar stop consonant,t̺ː
BIPA_xj_u0078u02B2u02D0,xʲː,palatalized long voiceless velar fricative consonant,xʲː
BIPA_l_u026Bu033B,ɫ̻,velarized voiced laminal alveolar lateral approximant consonant,l̻ˠ
BIPA_g_u0262u0325,ɢ̥,devoiced voiced uvular stop consonant,ɢ̥
UNK_ngng_u014Bu0325u014B,ŋ̥ŋ,,
BIPA_kxh_u006Bu01C1u0353u0078u02B0,kǁ͓xʰ,with-friction aspirated voiceless lateral click consonant,ǁʰ͓
BIPA_ndw_u006Eu0064u02B7,ndʷ,pre-nasalized labialized voiced alveolar stop consonant,ⁿdʷ
BIPA_fw_u0066u02B7,fʷ,labialized voiceless labio-dental fricative consonant,fʷ
UNK_wei_u0077u025Bu0069,wɛi,,
BIPA_gx_u0261u0298u0078,ɡʘx,from voiced labial click to voiceless velar fricative cluster,gʘx
BIPA_lj_u026Cu02B2,ɬʲ,palatalized voiceless alveolar lateral fricative consonant,ɬʲ
BIPA_lg_u006Cu02E0,lˠ,velarized voiced alveolar lateral approximant consonant,lˠ
UNK_joi_u006Au006Fu0069,joi,,
BIPA_ua_u0075u032Fu0061,u̯a,from non-syllabic rounded close back to unrounded open front diphthong,u̯a
BIPA_uo_u0169u006Fu02D0,ũoː,from nasalized rounded close back to long rounded close-mid back diphthong,ũoː
BIPA_l_u006Cu0329,l̩,syllabic voiced alveolar lateral approximant consonant,l̩
BIPA_ae_u00E6u0303u02D0,æ̃ː,long nasalized unrounded near-open front vowel,æ̃ː
BIPA_ia_u026Au00E3,ɪã,from unrounded near-close near-front to nasalized unrounded open front diphthong,ɪã
BIPA_ou_u0254u0303u028Au032Fu0303,ɔ̃ʊ̯̃,from nasalized rounded open-mid back to non-syllabic nasalized rounded near-close near-back diphthong,ɔ̃ʊ̯̃
UNK__u02E5u02E9u02E9u02E5,˥˩˩˥,,
BIPA_oi_u006Fu031Eu0069u032F,o̞i̯,from rounded mid back to non-syllabic unrounded close front diphthong,o̞i̯
UNK_st_u0283u0074,ʃt,,
BIPA_tr_u0288u027D,ʈɽ,with-trilled-release voiceless retroflex stop consonant,ʈʳ
UNK_we_u0077u0065,we,,
